,Model,Accuracy,Precision,Recall,F1
0,KNN,0.9892700796300385,0.9892078312230019,0.9892700796300385,0.9892302133519382
1,Naive Bayes,0.9125108793078812,0.912524471069285,0.9125108793078812,0.8892834842546562
2,Logistic Regression,0.913757940270976,0.9145414249828785,0.913757940270976,0.8911895596370338
3,Decision Tree,0.998454164014497,0.998453795348704,0.998454164014497,0.9984539691814275
4,Random Forest,0.9987919096920019,0.9987908146220479,0.9987919096920019,0.9987909028530503
5,Gradient Boosting,0.9987919096920019,0.998790807222757,0.9987919096920019,0.9987908416888349
6,K-Means,0.7536015380418545,0.8538504103425046,0.7536015380418545,0.7909068485299253
