,Model,Accuracy,Precision,Recall,F1
0,KNN,0.59935,0.6035674720130971,0.59935,0.5942204330325512
1,Naive Bayes,0.49785,0.6714023236704577,0.49785,0.3335833876255981
2,Logistic Regression,0.51125,0.608960482033004,0.51125,0.377520061822561
3,Decision Tree,0.60315,0.6083138723714318,0.60315,0.597327821756676
4,Random Forest,0.59965,0.6038740474346392,0.59965,0.5945335179828654
5,Gradient Boosting,0.60235,0.6070286634962573,0.60235,0.5969510161897723
6,K-Means,0.4009,0.39641611970557744,0.4009,0.39327773758963774
